Observation,Open,High,Low,Close,Adj Close,Volume
120,3.7,3.765,3.655,3.68,0.73529,2364000
121,3.71,3.71,3.6,3.66,0.731294,1931000
122,3.675,3.68,3.61,3.64,0.727298,4000000
123,3.85,4.025,3.85,3.915,0.782243999999999,14061000
124,3.91,3.945,3.805,3.93,0.785242,7982000
125,3.96,4.05,3.91,3.99,0.79723,14959000
126,4.01,4.025,3.875,3.905,0.780246,11334000
127,3.925,3.98,3.875,3.895,0.778247999999999,6039000
128,3.875,3.9,3.83,3.855,0.770256,7855000
129,3.83,3.91,3.775,3.86,0.771255,9477000
130,3.855,3.91,3.85,3.855,0.770256,3069000
131,3.93,3.93,3.855,3.875,0.774252,1927000
132,3.875,3.88,3.82,3.835,0.76626,3414000
133,3.81,3.85,3.775,3.83,0.765261,3917000
134,3.825,3.865,3.825,3.83,0.765261,1296000
135,3.815,3.84,3.78,3.82,0.763263,1200000
136,3.81,3.845,3.775,3.83,0.765261,2558000
137,3.825,3.875,3.77,3.805,0.760266,3377000
138,3.795,3.8,3.62,3.77,0.753273,5582000
139,3.75,3.795,3.705,3.74,0.747278,2085000
140,3.75,3.775,3.7,3.76,0.751274,2348000
141,3.825,3.825,3.71,3.75,0.749276,863000
142,3.755,3.755,3.655,3.68,0.73529,3695000
143,3.66,3.66,3.475,3.62,0.723301,6060000
144,3.6,3.65,3.58,3.61,0.721303,2542000
145,3.58,3.67,3.565,3.63,0.725299,6639000
146,3.65,3.845,3.615,3.62,0.723301,4140000
147,3.6,3.6,3.29,3.535,0.706318,12399000
148,3.46,3.55,3.355,3.52,0.703321,2970000
149,3.55,3.57,3.5,3.55,0.709314999999999,1097000
150,3.625,3.625,3.51,3.585,0.716308,822000
151,3.55,3.7,3.55,3.615,0.722302,1454000
152,3.605,3.8,3.605,3.775,0.754271,2350000
153,3.7,3.745,3.65,3.685,0.736289,681000
154,3.7,3.715,3.65,3.665,0.732293,371000
155,3.635,3.675,3.62,3.635,0.726298,328000
156,3.655,3.655,3.6,3.615,0.722302,830000
157,3.6,3.625,3.575,3.605,0.720303999999999,839000
158,3.61,3.615,3.55,3.56,0.711313,655000
159,3.55,3.575,3.53,3.535,0.706318,302000
160,3.65,3.65,3.44,3.5,0.699325,610000
161,3.47,3.53,3.325,3.35,0.669354,1982000
162,3.45,3.6,3.45,3.51,0.701322999999999,785000
163,3.55,3.6,3.48,3.495,0.698325,488000
164,3.48,3.515,3.48,3.5,0.699325,862000
165,3.51,3.55,3.495,3.54,0.707317,1025000
166,3.52,3.625,3.515,3.6,0.719305,905000
167,3.58,3.64,3.58,3.63,0.725299,799000
168,3.6,3.695,3.595,3.655,0.730295,972000
169,3.605,3.695,3.605,3.685,0.736289,557000
170,3.7,3.715,3.655,3.705,0.740285,453000
171,3.795,3.795,3.59,3.64,0.727298,1064000
172,3.6,3.66,3.6,3.655,0.730295,746000
